file,left_eye,right_eye,mouth
00000.png,"(282, 193)(360, 271)","(138, 174)(238, 274)","(186, 343)(314, 407)",
00001.png,"(288, 198)(355, 265)","(154, 194)(227, 267)","(186, 363)(319, 430)",
00002.png,"(285, 192)(362, 269)","(147, 184)(236, 273)","(184, 331)(318, 398)",
00003.png,"(283, 182)(369, 268)","(145, 180)(233, 268)","(196, 367)(323, 430)",
00004.png,"(283, 182)(366, 265)","(151, 184)(233, 266)","(198, 375)(316, 434)",
00005.png,"(281, 191)(352, 262)","(169, 197)(234, 262)","(201, 310)(344, 381)",
00006.png,"(279, 178)(381, 280)","(163, 206)(214, 257)","(183, 332)(323, 402)",
00007.png,"(288, 206)(359, 277)","(147, 204)(233, 290)","(175, 325)(321, 398)",
00008.png,"(290, 215)(348, 273)","(149, 202)(228, 281)","(196, 364)(322, 427)",
00009.png,
00010.png,"(279, 183)(369, 273)","(143, 186)(233, 276)","(195, 339)(320, 401)",
00011.png,"(293, 199)(357, 263)","(156, 195)(227, 266)","(201, 336)(323, 397)",
00012.png,"(284, 189)(361, 266)","(161, 189)(238, 266)","(183, 349)(328, 422)",
00013.png,
00014.png,"(279, 185)(366, 272)","(155, 190)(238, 273)","(185, 345)(329, 417)",
00015.png,"(286, 197)(353, 264)","(163, 195)(233, 265)","(193, 361)(325, 427)",
00016.png,"(283, 189)(366, 272)","(151, 185)(235, 269)","(183, 340)(314, 406)",
00017.png,"(284, 193)(357, 266)","(145, 181)(234, 270)","(198, 344)(329, 409)",
00018.png,"(285, 189)(366, 270)","(156, 189)(237, 270)","(171, 325)(346, 413)",
00019.png,"(288, 196)(356, 264)","(156, 194)(229, 267)","(158, 332)(309, 407)",
00020.png,"(285, 198)(357, 270)","(149, 179)(238, 268)","(191, 364)(322, 429)",
00021.png,"(288, 206)(355, 273)","(163, 210)(211, 258)","(189, 359)(331, 430)",
00022.png,"(181, 333)(325, 405)",
00023.png,"(189, 334)(316, 397)",
00024.png,
00025.png,"(183, 328)(326, 400)",
00026.png,"(283, 189)(367, 273)","(148, 187)(233, 272)","(192, 323)(323, 388)",
00027.png,"(285, 196)(358, 269)","(149, 177)(237, 265)","(193, 340)(348, 418)",
00028.png,"(225, 361)(330, 413)",
00029.png,"(289, 192)(359, 262)","(166, 201)(224, 259)","(181, 350)(317, 418)",
00030.png,"(281, 186)(367, 272)","(150, 185)(238, 273)","(185, 347)(325, 417)",
00031.png,"(284, 191)(357, 264)","(165, 197)(222, 254)","(204, 359)(318, 416)",
00032.png,"(287, 186)(369, 268)","(175, 367)(322, 440)",
00033.png,"(285, 214)(345, 274)","(137, 192)(228, 283)","(203, 365)(330, 429)",
00034.png,"(259, 182)(366, 289)","(162, 195)(229, 262)","(195, 347)(319, 409)",
00035.png,
00036.png,
00037.png,"(290, 193)(363, 266)","(151, 193)(223, 265)","(180, 343)(317, 411)",
00038.png,"(284, 208)(336, 260)","(139, 169)(242, 272)","(215, 384)(312, 433)",
00039.png,"(274, 192)(351, 269)","(158, 188)(235, 265)","(183, 355)(317, 422)",
00040.png,"(291, 195)(361, 265)","(150, 190)(230, 270)","(189, 331)(316, 394)",
00041.png,"(292, 196)(359, 263)","(157, 198)(222, 263)",
00042.png,"(287, 200)(355, 268)","(153, 195)(229, 271)","(170, 341)(331, 422)",
00043.png,"(283, 208)(347, 272)","(159, 207)(229, 277)","(217, 370)(297, 410)",
00044.png,"(288, 199)(356, 267)","(156, 189)(230, 263)","(194, 338)(325, 404)",
00045.png,"(293, 199)(360, 266)","(153, 193)(230, 270)","(179, 333)(345, 416)",
00046.png,"(281, 188)(363, 270)","(154, 196)(228, 270)","(173, 338)(326, 414)",
00047.png,"(274, 179)(362, 267)","(152, 191)(235, 274)","(177, 341)(322, 413)",
00048.png,"(285, 190)(365, 270)","(153, 188)(229, 264)","(195, 355)(321, 418)",
00049.png,"(289, 214)(343, 268)","(153, 208)(218, 273)","(173, 345)(329, 423)",
00050.png,"(285, 189)(364, 268)","(151, 192)(228, 269)","(176, 332)(324, 406)",
00051.png,"(291, 191)(370, 270)","(153, 196)(215, 258)","(206, 368)(326, 428)",
00052.png,"(295, 203)(366, 274)","(156, 190)(237, 271)","(204, 352)(323, 411)",
00053.png,"(264, 184)(376, 296)","(191, 371)(302, 426)",
00054.png,"(283, 189)(363, 269)","(146, 181)(239, 274)","(180, 338)(335, 415)",
00055.png,"(284, 209)(354, 279)","(152, 207)(231, 286)","(178, 351)(330, 427)",
00056.png,"(290, 197)(360, 267)","(157, 197)(227, 267)","(187, 328)(345, 407)",
00057.png,"(289, 200)(357, 268)","(148, 183)(231, 266)","(184, 354)(315, 420)",
00058.png,"(291, 202)(345, 256)","(164, 199)(229, 264)","(189, 360)(315, 423)",
00059.png,"(283, 186)(364, 267)","(153, 187)(234, 268)","(205, 363)(326, 423)",
00060.png,
00061.png,
00062.png,"(275, 189)(352, 266)","(175, 209)(227, 261)","(195, 352)(324, 416)",
00063.png,
00064.png,"(284, 188)(362, 266)","(159, 190)(231, 262)","(185, 350)(332, 423)",
00065.png,"(285, 194)(355, 264)","(151, 183)(237, 269)","(189, 346)(322, 412)",
00066.png,"(286, 192)(365, 271)","(159, 194)(231, 266)","(189, 356)(321, 422)",
00067.png,"(289, 197)(360, 268)","(156, 195)(237, 276)","(177, 333)(324, 407)",
